*	79	1
*	80	1
*	81	1
*	82	1
*	83	1
*	84	1
*	90	1
*	94	1
*	_domeinkey	1
*	_tls	1
*	a1	1
*	a2	1
*	aanbiedingen	1
*	aanbod	1
*	aangetekend	1
*	aanvraag	1
*	aas	1
*	ab	1
*	ab-com	1
*	abais	1
*	abam	1
*	abn	1
*	abstract	1
*	abuse	1
*	abw4s	1
*	ac	1
*	acara	1
*	acc-01	1
*	acc-consular	1
*	acc-eu	1
*	acc-old	1
*	acc-sites	1
*	acc-tpwp	1
*	acc01	1
*	acc10	1
*	acc7	1
*	acc9	1
*	accep	1
*	accept03	1
*	acceptance-1	1
*	acceptatie-20	1
*	acceptatie-22	1
*	acceptatie-24	1
*	acceptatie-27	1
*	acceptatie-31	1
*	acceptatie-39	1
*	acceptatie-58	1
*	acceptatie-59	1
*	acceptatie-8	1
*	acceptatie01	1
*	acceptatiecrm	1
*	acceptation	1
*	acceptold	1
*	access	1
*	accp0	1
*	acct	1
*	accvo	1
*	acd-demo	1
*	acedbycarine	1
*	acme	1
*	acp	1
*	acties	1
*	adanarestaurant	1
*	adapt	1
*	addax	1
*	addons	1
*	adequaat	1
*	adguard	1
*	admintest	1
*	adminvault	1
*	adp	1
*	adpapp	1
*	adriaanrijkens	1
*	ads	1
*	adstudio	1
*	adu	1
*	adullam	1
*	advertentieplek	1
*	adverteren	1
*	advitas	1
*	adw1	1
*	aenc-av	1
*	aenl	1
*	africar	1
*	afspraak	1
*	afspraken	1
*	afstandsbediening	1
*	aftc	1
*	ag	1
*	agenda	1
*	agrometa	1
*	ags	1
*	ah	1
*	ahold	1
*	ahtest	1
*	aidbox	1
*	airconditioning	1
*	airflow	1
*	ajc-meubelen	1
*	akeneo	1
*	aktietest	1
*	albali	1
*	albert-heijn	1
*	alerts	1
*	ali	1
*	alldoorco	1
*	alliantie	1
*	allround	1
*	allyouneedplanner	1
*	allyourz	1
*	almera	1
*	alphabet	1
*	alr	1
*	alrijne	1
*	alt	1
*	alta	1
*	aluminium	1
*	alwood	1
*	amadeus	1
*	amber	1
*	amc-literatuur	1
*	amcs	1
*	ami-p	1
*	amos	1
*	amref	1
*	ams01	1
*	ams1	1
*	ams3	1
*	amsta	1
*	amsterdam-acceptance	1
*	amsterdam-production	1
*	amsterdam-test	1
*	amy	1
*	an	1
*	analytics	1
*	ananda-nederland	1
*	andino	1
*	anexo	1
*	angelfish	1
*	anieuwhof	1
*	ankeiler	1
*	anker	1
*	annapurna	1
*	annaservies	1
*	anne	1
*	annemarievanmaurik	1
*	anon	1
*	ansibletest001	1
*	antevorta	1
*	antonconstandse	1
*	ao	1
*	ap	1
*	apc	1
*	api-dev	1
*	api-docs	1
*	api-local	1
*	api-staging	1
*	apis	1
*	apotheeka15	1
*	app-dev	1
*	app0	1
*	app1	1
*	app3	1
*	app4	1
*	app5	1
*	appdata	1
*	appel	1
*	appelscha	1
*	appeltjevoordedorst	1
*	appengine	1
*	appletizer	1
*	application	1
*	apps-dev	1
*	apps2013	1
*	appwrite	1
*	aprs	1
*	apt	1
*	aqua	1
*	aran	1
*	arbegroothandel	1
*	arbehandel	1
*	arcade	1
*	arco	1
*	ardbol	1
*	area51	1
*	argalo	1
*	argon	1
*	argoszorggroep	1
*	arjanbos	1
*	arkin	1
*	armadillo	1
*	arnhem	1
*	arnol	1
*	arnothuis	1
*	arr	1
*	arriva	1
*	arryn	1
*	arsenic	1
*	art	1
*	arthost	1
*	artifactory	1
*	artifex	1
*	artsenzondergrenzen	1
*	asito	1
*	asko	1
*	askoscholen	1
*	assignment	1
*	assyst	1
*	asteria	1
*	asvdionysos	1
*	asw	1
*	at	1
*	at72	1
*	at73	1
*	atelier-p	1
*	athora	1
*	atlassian	1
*	atmosphere	1
*	atron-engineering	1
*	ats	1
*	atscholen	1
*	audio	1
*	auteur	1
*	auto	1
*	auto01	1
*	auto02	1
*	autobedrijfthoonen	1
*	automotive	1
*	autotransport	1
*	av	1
*	avans	1
*	avenue5	1
*	avision	1
*	avocado	1
*	awl	1
*	awoz	1
*	aws	1
*	azure01	1
*	azure02	1
*	azurenew	1
*	azurett	1
*	azurewebsites	1
*	b-e-t	1
*	b1	1
*	ba-dev	1
*	ba-dh	1
*	baarlesspecialiteitenhuis	1
*	baasbv	1
*	babsgosgens	1
*	babyleven	1
*	babynature	1
*	bach	1
*	backbone	1
*	backing	1
*	backoffice-acceptatie	1
*	backoffice-test	1
*	backstreet	1
*	badmeesters	1
*	bagxs	1
*	bakkerenbosch	1
*	bala	1
*	balcora	1
*	ballast-nedam	1
*	ballsandarrows	1
*	bambook	1
*	banana	1
*	bandplunder	1
*	bane	1
*	banjo	1
*	bankier	1
*	barista	1
*	barney	1
*	baron	1
*	barrypriem	1
*	bartek	1
*	basdev1	1
*	basdev2	1
*	basic	1
*	basicfit	1
*	basil	1
*	bass	1
*	batch-test	1
*	batenburg	1
*	batenburg-bevestiging	1
*	bazaroo	1
*	bb	1
*	bbb1	1
*	bbbcluster	1
*	bc	1
*	bdlease	1
*	be	1
*	beanmeup	1
*	beatrixwinterrace	1
*	bectro	1
*	bedrift	1
*	bedrijfsgids	1
*	bedrijfsruimte	1
*	bedrijven	1
*	bee	1
*	beeldbank	1
*	beeldboetiek	1
*	begroting	1
*	beheer-develop	1
*	behind	1
*	beiben	1
*	bekema	1
*	belastingen	1
*	belbel	1
*	belbel2	1
*	beleggersbelangen	1
*	belladonna	1
*	bellamilan	1
*	ben-s	1
*	benelux	1
*	benjamin	1
*	beno	1
*	benova	1
*	benzo	1
*	bergenopzoom	1
*	berghonline	1
*	bergschenhoek	1
*	bert	1
*	beryllium	1
*	bespeak	1
*	best	1
*	bestanden	1
*	besteldev	1
*	bestellen	1
*	bestellen-absoluta	1
*	beta2	1
*	betaclients	1
*	betalingen	1
*	betaserver	1
*	betasterren	1
*	beterbase	1
*	beterbesparen	1
*	beurs	1
*	bezorgen	1
*	bfg	1
*	bhos	1
*	bhostest	1
*	bi	1
*	bib	1
*	bibliotheek	1
*	bierdopje	1
*	bigboard	1
*	bikex	1
*	bilthoven	1
*	biltz	1
*	bimservice	1
*	birdie	1
*	bis	1
*	bis1	1
*	bis2	1
*	bistrobree56	1
*	bjh	1
*	bjorn	1
*	bknw	1
*	blackbird-amsterdam	1
*	blackops	1
*	bladergroen	1
*	bladesmith	1
*	blakeslee	1
*	blob	1
*	blog-review	1
*	bloginsiders	1
*	blom	1
*	bloodbowl	1
*	bloodfin	1
*	bloomville	1
*	blue-legal	1
*	blue1	1
*	blue2	1
*	bmbshop	1
*	bmwhr	1
*	bnnvara	1
*	board	1
*	boarding	1
*	bob	1
*	bobafett	1
*	boeg	1
*	boeken	1
*	boekopdracht	1
*	boels	1
*	boerderij	1
*	boerderijwinkellizette	1
*	bog	1
*	bogey	1
*	bokken	1
*	bolendebruijn	1
*	bom	1
*	bon	1
*	bon-holding	1
*	bonifatiusplein	1
*	booking	1
*	bookx	1
*	booq	1
*	bops	1
*	borel	1
*	borne	1
*	boron	1
*	borteldonk	1
*	bos	1
*	boss	1
*	bostaging	1
*	botest	1
*	bouman	1
*	bouw	1
*	bouwgarant	1
*	bouwinvest	1
*	bovemij	1
*	bowman	1
*	boxwagenparkbeheer	1
*	bpc	1
*	br	1
*	braavos	1
*	brandguide	1
*	brandinterieurs	1
*	brandyoung	1
*	brasbits	1
*	breburg	1
*	breda	1
*	breeman2	1
*	breezeblocks	1
*	bremmer	1
*	bremmercrm	1
*	breukers	1
*	brian	1
*	brightsite	1
*	bristlenose	1
*	brocacef	1
*	bromine	1
*	brouwer	1
*	browser	1
*	browsers	1
*	bruidsbloemist	1
*	brunotti	1
*	brunottiboards	1
*	btpv	1
*	bubble	1
*	buck	1
*	buddy	1
*	bude	1
*	bufr	1
*	buitenhof	1
*	buitenplaatswoellust	1
*	buitenspelers	1
*	bulters	1
*	bumblebee	1
*	bureaudewit	1
*	burgum	1
*	buschbeck	1
*	business01	1
*	business02	1
*	butters	1
*	bvt01	1
*	bwe	1
*	bwstest	1
*	byte	1
*	c	1
*	c01	1
*	c2g2	1
*	c2g3	1
*	c2g4	1
*	c2g5	1
*	c2g6	1
*	c5	1
*	c6	1
*	c7	1
*	c8	1
*	c9	1
*	ca	1
*	calcium	1
*	call	1
*	calpe	1
*	calvin	1
*	calway	1
*	cam	1
*	campchef	1
*	campusday	1
*	campzone	1
*	canary	1
*	cannon	1
*	canvasbeta	1
*	capi	1
*	carcleaning-expert	1
*	cardinal	1
*	careander	1
*	careratio	1
*	carl	1
*	carta	1
*	cartman	1
*	cas	1
*	casala	1
*	casaw	1
*	cases	1
*	cashback	1
*	cashbackxl	1
*	castella	1
*	castleblack	1
*	castor	1
*	catalogus	1
*	catch	1
*	cateringmeesters	1
*	catfish	1
*	cathay-pacific	1
*	cavent	1
*	cb	1
*	cbct	1
*	cbo	1
*	cbold	1
*	cbre	1
*	ccdc	1
*	ccdesign	1
*	cctvgroningen	1
*	cdaas	1
*	cdev	1
*	cdn-dev	1
*	cdv-service	1
*	ceeshakkert	1
*	ceka	1
*	celi	1
*	cenc	1
*	cendris2	1
*	central	1
*	centreconsulting	1
*	centric	1
*	centrum	1
*	cerebro	1
*	ces	1
*	ceto	1
*	cf	1
*	cgi	1
*	ch	1
*	challenge	1
*	charlie	1
*	charts	1
*	chasemedia	1
*	chatterbox	1
*	chatterboxbackup	1
*	checkin	1
*	checkout	1
*	cherry	1
*	chief	1
*	chill	1
*	chlorine	1
*	chocoladeletterkopen	1
*	chq	1
*	chris	1
*	chromium	1
*	cicd	1
*	cindax	1
*	cinemaat	1
*	cinemakers	1
*	cisv	1
*	cisvcrm	1
*	citrix	1
*	cjg	1
*	cjgassen	1
*	cjib	1
*	ck-test	1
*	ckb	1
*	ckh2020	1
*	cl	1
*	cl01	1
*	cl02	1
*	cl03	1
*	cl04	1
*	cl05	1
*	cl06	1
*	cl08	1
*	cl1	1
*	clab	1
*	clancy	1
*	clarence	1
*	classic	1
*	cleanwipes	1
*	clearspot	1
*	clientoffice	1
*	clikq	1
*	clone	1
*	clooney	1
*	cloud1	1
*	cloud20	1
*	clownfish	1
*	clubs	1
*	clubsportive	1
*	cluster02	1
*	cluster2	1
*	cluster209	1
*	cluster21	1
*	cluster211	1
*	cluster213	1
*	cluster215	1
*	cluster229	1
*	cluster231	1
*	cluster235	1
*	cluster289	1
*	cluster291	1
*	cluster293	1
*	cluster295	1
*	cluster302	1
*	cluster304	1
*	cluster306	1
*	cluster310	1
*	cluster316	1
*	cluster318	1
*	cluster320	1
*	cluster322	1
*	cluster371	1
*	cluster373	1
*	cluster375	1
*	cluster377	1
*	cluster423	1
*	cluster425	1
*	cluster429	1
*	cluster433	1
*	cluster435	1
*	cluster437	1
*	cluster439	1
*	cluster441	1
*	cluster443	1
*	cluster445	1
*	cluster447	1
*	cluster449	1
*	cluster451	1
*	cluster457	1
*	cluster459	1
*	cluster463	1
*	cluster63	1
*	cluster64	1
*	cmi	1
*	cms01	1
*	cms11	1
*	cms12	1
*	cms13	1
*	cms14	1
*	cms15	1
*	cms2	1
*	cms4	1
*	cms5	1
*	cms6	1
*	cms7	1
*	co	1
*	coa	1
*	cobalt	1
*	cobeco	1
*	cockpit	1
*	cocolaserclinics	1
*	coconut	1
*	code-server	1
*	coffee	1
*	coinbot	1
*	colleges	1
*	colo	1
*	commanderie	1
*	community	1
*	compute3	1
*	con1	1
*	concept	1
*	concepts	1
*	connecticut	1
*	conner	1
*	conrad	1
*	console	1
*	consulink	1
*	contact	1
*	content	1
*	contentbeat	1
*	contract	1
*	control-center	1
*	controls	1
*	cool	1
*	cool4u	1
*	coolify	1
*	cooperatie	1
*	coopercompany	1
*	copernica	1
*	copy	1
*	cora	1
*	corevm	1
*	corp	1
*	correctgevelrenovatie	1
*	corydoras	1
*	coste	1
*	coteqnetbeheer	1
*	county	1
*	covebo	1
*	covid	1
*	cox	1
*	cp	1
*	cp00	1
*	cp12	1
*	cp13	1
*	cp14	1
*	cp4ba	1
*	cp99	1
*	cprw	1
*	cpvm	1
*	craft-education	1
*	crazyradio	1
*	crh	1
*	cropsolutions	1
*	crossmedia	1
*	crossminds	1
*	crush	1
*	cs	1
*	cs-acc	1
*	cs-test	1
*	csi	1
*	cteach	1
*	cts	1
*	cuisineculinaire	1
*	cursus	1
*	custom	1
*	customacc	1
*	customtest	1
*	cvdeal	1
*	cvhj	1
*	cvs	1
*	cw2	1
*	cyclopes	1
*	cyclus	1
*	cz	1
*	d-shore	1
*	d1	1
*	d8	1
*	da	1
*	da02	1
*	da03	1
*	da04	1
*	da05	1
*	da06	1
*	da07	1
*	da1	1
*	da2	1
*	da3	1
*	da4	1
*	daf	1
*	dag	1
*	dag-architecten	1
*	dagboek	1
*	dagiorgiobemmel	1
*	dagopvangcompassie	1
*	dak	1
*	dams	1
*	dancadavida	1
*	danio	1
*	dapex	1
*	dapex18	1
*	darwin	1
*	dash	1
*	dashboardold	1
*	dashboards	1
*	dasselaar	1
*	data01	1
*	datacenter	1
*	datahive	1
*	datahub	1
*	datalake	1
*	dataqueue	1
*	dating	1
*	dave	1
*	david	1
*	davy	1
*	db-proxy	1
*	db01	1
*	db1	1
*	db2	1
*	dbadmin	1
*	dbm	1
*	dbos	1
*	dc-api	1
*	dc02	1
*	dd	1
*	ddb	1
*	dealer	1
*	dealerdemo	1
*	dealers	1
*	dealersites	1
*	debarbecuezaak	1
*	debever	1
*	debitx	1
*	debleek	1
*	debraacken	1
*	debreed	1
*	debruin-debruin	1
*	debuitenspelers	1
*	decanen	1
*	ded	1
*	dedemsvaart	1
*	dedi02	1
*	dedoffers	1
*	deelen	1
*	def	1
*	default	1
